name,url,duration,remote_testing,adaptive_irt,test_type,combined_text
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,,Yes,Yes,"A, K, P","Assessment Name: Administrative Professional - Short Form. Test Type: A, K, P. Remote Testing: Yes. Adaptive: Yes"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,,Yes,No,"B, P","Assessment Name: Apprentice + 8.0 Job Focused Assessment. Test Type: B, P. Remote Testing: Yes. Adaptive: No"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,,Yes,No,"B, P","Assessment Name: Apprentice 8.0 Job Focused Assessment. Test Type: B, P. Remote Testing: Yes. Adaptive: No"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,,Yes,No,"A, B, K, P","Assessment Name: Bank Administrative Assistant - Short Form. Test Type: A, B, K, P. Remote Testing: Yes. Adaptive: No"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,,Yes,No,"A, B, P","Assessment Name: Bank Collections Agent - Short Form. Test Type: A, B, P. Remote Testing: Yes. Adaptive: No"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,,Yes,Yes,"A, B, P, S","Assessment Name: Bank Operations Supervisor - Short Form. Test Type: A, B, P, S. Remote Testing: Yes. Adaptive: Yes"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,,Yes,Yes,"P, S, K, B, A","Assessment Name: Bookkeeping, Accounting, Auditing Clerk Short Form. Test Type: P, S, K, B, A. Remote Testing: Yes. Adaptive: Yes"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,,Yes,No,"A, B, P","Assessment Name: Branch Manager - Short Form. Test Type: A, B, P. Remote Testing: Yes. Adaptive: No"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,,Yes,No,K,Assessment Name: Adobe Experience Manager (New). Test Type: K. Remote Testing: Yes. Adaptive: No
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,,Yes,Yes,K,Assessment Name: Adobe Photoshop CC. Test Type: K. Remote Testing: Yes. Adaptive: Yes
